Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Algeria,DZA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..
Algeria,DZA,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,96.745631984889,96.8300469483568,97.6345486111111,96.7806296709614,96.9984,96.24944714728,97.9428953080648,98.6115002646244,98.357510392744,..,..,..,..,..,..
Algeria,DZA,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,0.212498032425626,0.259154929577465,0.206163194444444,0.896148253356329,0.8032,1.63644405130473,0.55101018533979,0.395379969490365,0.210761940754092,..,..,..,..,..,..
Algeria,DZA,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
Algeria,DZA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3111.17616898665,3162.81150705023,3297.61281111413,3490.22324715182,3592.64530104949,3752.09616063674,4042.92363832773,4112.07602394229,4177.8895415169,4224.03726252781,4192.33769222334,4154.21903821165,4115.39553969777,3834.43898325217,..
American Samoa,ASM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,12609.3685211188,12641.6678802311,12653.2818390598,12628.5076571075,11507.2256511128,11694.5453868794,12059.6351646776,11871.3595493939,11066.0601740887,11393.6056572867,11368.5695800312,11839.0105004877,..
Andorra,AND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.95228628230616,7.72154906153481,7.56624029237094,7.24241596064499,7.34426229508197,7.35378022340277,5.94280054475672,5.8071276179415,6.02618183683151,6.08060029756129,6.10413392729587,5.97340536048203,..,..,..
Andorra,AND,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,34267.582236696,35974.8796537156,36158.5864331717,37620.2055439015,39042.9587661129,39782.9287639918,33220.5619485322,34721.891965559,35770.7767044085,37432.7626628952,37707.6836020581,38301.2984391299,39003.3844476073,34288.5384553102,..
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.754476371745695,0.761842805096947,0.777423085629899,0.993848349116355,1.02835366708572,0.937036691701652,1.26154174238672,1.28536455265954,1.26092098873993,1.2277029417926,1.03431729977182,0.88738036390839,..,..,..
Angola,AGO,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,36.8858131487889,37.9120879120879,35.2407932011331,37.7944862155388,21.594982078853,20.3517587939699,41.9790652385589,46.8248945147679,46.8250716919295,..,..,..,..,..,..
Angola,AGO,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,36.8858131487889,37.9120879120879,35.2407932011331,37.7944862155388,21.594982078853,20.3517587939699,41.9790652385589,46.8248945147679,46.8250716919295,..,..,..,..,..,..
Angola,AGO,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..
Angola,AGO,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
Angola,AGO,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,63.1141868512111,62.0879120879121,64.7592067988669,62.2055137844612,78.405017921147,79.6482412060301,58.0209347614411,53.1751054852321,53.1749283080705,..,..,..,..,..,..
Angola,AGO,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
Angola,AGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2451.50982599127,2471.66462723733,2717.44096999519,2705.70613893833,2900.16696257258,3220.07808518711,4220.96480538831,4272.45553706668,4166.97983330278,3924.62047106472,3790.79156544691,3595.10666708754,3458.65051207408,3168.25387302793,..
Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.34170536924231,4.532974149096,4.9809701397226,5.16952251264011,4.97840616326683,5.03302153151162,5.136050704841,5.18571335969404,5.23666520610018,5.28988573846805,5.23971705527901,5.50466338464095,..,..,..
Antigua and Barbuda,ATG,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,14069.5148408067,13220.0448316627,13170.6260108089,13792.5009167708,14399.8207214034,15122.1856098317,13554.4013958157,13908.9916265529,14285.3297773091,14919.2060476269,15242.3730650282,16146.5927471262,16786.4474314205,13285.6447420337,..
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.57762821285442,3.34990858910446,3.11742479640605,3.37010217374741,3.68518420855051,3.76212392773554,4.35988634439761,4.21636063230176,4.31443352245988,4.22753944174089,4.0894715157252,3.9872341980589,..,..,..
Argentina,ARG,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,59.8931503767855,50.336791877046,49.5435330894107,53.8270129305661,60.5091598861878,59.9596174081201,64.0525460532938,64.2570688132501,66.935022110005,..,..,..,..,..,..
Argentina,ARG,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,3.24260488134068,1.11413194251789,0.898724734467692,1.09855481908073,4.03234662806369,5.44691016295229,14.2682523476035,13.840106557021,15.4231944645654,..,..,..,..,..,..
Argentina,ARG,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,6.94747497469351,7.83332408589025,6.8925911453708,8.22123220688906,7.8560375380622,6.51524774625323,4.46296322926703,4.16672699106716,..,..,..,..,..,..,..
Argentina,ARG,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,54.6473962433922,47.711257837208,47.6845109113945,51.7103118548299,54.8015773972945,52.4461802428643,47.2353643279311,48.1996785915942,49.4822602564899,..,..,..,..,..,..
Argentina,ARG,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,32.3630637723541,41.0841702269323,42.4496465489681,36.7412800173856,30.389856736385,32.23402944327,29.3691309912423,29.6079396562957,26.2415750877847,..,..,..,..,..,..
Argentina,ARG,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2.00314925205264,1.51140209732009,0.960297443548483,1.01814625665544,1.67523586082963,2.06652700230351,2.54892937775924,2.21728366463494,2.02956738894983,..,..,..,..,..,..
Argentina,ARG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,10730.6082172968,10146.1068184859,8943.30800223846,9629.84408600561,10389.1512740641,11192.1795786128,14071.5086831557,13567.9484159809,13789.060424772,13360.2118345982,13595.0373551081,13105.397163317,12712.9707379001,11344.4057423154,..
Armenia,ARM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.15976136281082,1.1800624515273,1.02835355322521,1.15973224102019,1.25303469339807,1.49601074980998,1.89812716968877,1.88160773079824,1.82529219202211,1.72675278179192,1.80658104876105,1.88024626821933,..,..,..
Armenia,ARM,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,45.1829472977509,48.5639686684073,28.6102554810654,27.6495182694056,30.3648424543947,28.9377869241729,41.1543450064851,42.4387096774194,35.9148608795999,..,..,..,..,..,..
Armenia,ARM,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
Armenia,ARM,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,33.6522322927157,34.5865970409051,41.348070302591,36.3206689692783,36.5008291873963,42.9950926072503,30.609597924773,31.8064516129032,..,..,..,..,..,..,..
Armenia,ARM,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,45.1829472977509,48.5639686684073,28.6102554810654,27.6495182694056,30.3648424543947,28.9377869241729,41.1543450064851,42.4387096774194,35.9148608795999,..,..,..,..,..,..
Armenia,ARM,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,21.1648204095334,16.8494342906876,30.0416742163435,36.0298127613161,33.134328358209,28.0671204685769,28.1841763942931,25.7032258064516,28.2856776509809,..,..,..,..,..,..
Armenia,ARM,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
Armenia,ARM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1289.88425211857,1422.47665422275,1619.11218921002,1855.59682694565,2062.20323329876,2364.175934724,3406.53611767826,3511.2250593094,3607.28929855361,3601.46966358115,3860.21805793624,4051.38496692373,4350.46619774208,4021.04626409617,..
Aruba,ABW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,31245.7240422944,29656.1040089547,28051.1192240863,28008.5035479577,29695.4929573171,29670.2876863246,27090.026166222,27011.3203157436,28396.9084228616,28847.814058488,29286.2493197282,..,..,..,..
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,17.689656972798,17.7695358780199,17.9574992112521,17.6920293133086,18.1478978904379,18.117853570518,16.3986459950997,15.7558761009156,15.7864494009173,15.8720795379851,15.7386474030825,15.475516485656,..,..,..
Australia,AUS,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,91.6183814279724,91.901545047154,92.1390811775985,91.5593011342515,91.8133498091695,91.1962933605434,86.7358916116833,85.0932877904167,86.3621589053259,..,..,..,..,..,..
Australia,AUS,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.850074333854306,0.911421755512452,1.07574171643695,0.752994297008876,0.608641926621183,1.24415910872488,2.56789292567532,2.01922147391487,2.6950641361049,..,..,..,..,..,..
Australia,AUS,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
Australia,AUS,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,7.74072732817444,7.70115711323657,13.9547361662078,13.3172549481835,13.548307940389,10.4240476117488,20.4526061509248,21.9097412431927,20.7954779685741,..,..,..,..,..,..
Australia,AUS,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,7.79552472077155,7.38545916661093,6.98264563854023,7.37762142656379,7.05919469968845,6.70427025535698,7.2794356244066,7.40582605613379,5.29618354500626,..,..,..,..,..,..
Australia,AUS,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,83.0275797659437,83.288966178405,77.1086032949538,77.4890518890591,77.6563999421593,79.5280866400697,63.7153925350832,61.1643250733091,62.8716168006469,..,..,..,..,..,..
Australia,AUS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,45558.753131278,45864.7680331103,47127.2781005515,47997.1371388983,49439.1222880846,50332.8748422221,55723.9482270935,56305.9790936359,56707.0220772116,57358.7827974217,57695.5712591341,58447.2526505317,58781.0466570626,58029.5155258862,..
Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.92978551259517,8.44410916140459,8.58331713469893,9.16834402049986,9.27561372624409,9.26611381933193,7.75369957604068,7.25338378134494,7.3067452655704,7.25562651573804,7.48275147921596,7.14663762463773,..,..,..
Austria,AUT,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,27.2104753315295,30.4534363895394,30.5900569960136,38.7920202420091,35.3231742751986,35.9080124676291,20.8350116189001,17.7210464814334,22.2220423230737,..,..,..,..,..,..
Austria,AUT,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2.84263620269232,2.97705798549135,2.38526669521958,3.20326350758215,2.93794795635049,2.5446989315676,1.07668474051123,0.978641911191898,1.39403850201577,..,..,..,..,..,..
Austria,AUT,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
Austria,AUT,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,13.1125363262852,14.3219742250315,15.3279741705927,19.2161385269463,17.6809582230258,20.2040721385706,10.3020914020139,8.77207218904181,12.6013956575944,..,..,..,..,..,..
Austria,AUT,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,69.8734008083642,66.2469091325921,66.2652785556617,57.1716267621392,59.3433202040421,57.5232217346132,65.132455460883,66.5573876915087,59.9970856337937,..,..,..,..,..,..
Austria,AUT,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,11.255302802552,13.1544041790165,12.8768161302013,16.3726182074806,14.7042680958223,13.159241397491,9.4562354763749,7.97033238119969,8.22660816346356,..,..,..,..,..,..
Austria,AUT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,38842.8905195831,39184.8085972636,39636.4826114521,39815.2219533064,40651.2266155811,41281.2707559522,44299.3781845446,44245.1687398338,44195.8175947748,44590.2516278164,45281.723399938,46188.9665119872,46669.7512148406,43346.4318485062,..
Azerbaijan,AZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.97105086598912,4.77364631620475,4.66596100074034,4.17046185982682,4.10401492806838,4.36733259054916,3.33340377480633,3.42210064541678,3.33390642946498,3.34706182082623,3.24435690442685,3.22140218320925,..,..,..
Azerbaijan,AZE,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,91.7963527461362,93.1418028465999,89.1984385861719,88.4008268345391,87.329838116262,86.8441762854145,93.0418771944849,94.0189259139437,92.5915424497732,..,..,..,..,..,..
Azerbaijan,AZE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,71.9503716776298,33.7532946758039,30.9716057964815,35.6948228882834,28.2698675496689,25.6733123469745,0.0770745910764751,0.157715949530896,6.50923525599482,..,..,..,..,..,..
Azerbaijan,AZE,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..
Azerbaijan,AZE,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,19.8459810685063,59.388508170796,58.2268327896904,52.7060039462558,59.0599705665931,61.17086393844,92.9648026034084,93.8612099644128,86.0823071937783,..,..,..,..,..,..
Azerbaijan,AZE,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,8.20364725386384,6.85819715340011,10.8015614138281,11.5991731654609,12.670161883738,13.1558237145855,6.37578145071508,5.25719831769654,6.63075178224238,..,..,..,..,..,..
Azerbaijan,AZE,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
Azerbaijan,AZE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1480.75665467711,1614.79211576914,1754.07360591124,1918.54363295971,2077.81226193597,2631.75897929512,5425.90528451346,5505.98823646328,5500.31038244408,5270.55296832692,5229.52613726561,5262.18380463117,5348.26526020775,5083.38163910978,..
"Bahamas, The",BHS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.1801238068077,7.03857668744093,7.41085039508284,7.18567463903961,6.77343184077418,6.21829286312368,8.47037547458615,7.06913996627319,6.33351149118119,5.7948312222331,5.6319728407933,5.86046391017413,..,..,..
"Bahamas, The",BHS,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,35782.8043547061,36167.2345998328,36537.0479083933,35445.2872619172,35111.1742007615,35637.790660931,31165.2701259886,31580.5161812885,31776.0555852485,31491.7004685862,31682.6965038308,32231.2725840966,32136.7623077088,27209.4648606859,..
Bahrain,BHR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,23.8937121018342,23.4965235466992,23.4241096933917,23.0638442137489,21.6064185403075,23.2804780258155,21.8702401239821,22.6185245866057,22.3055968824648,21.1811953067521,20.3336240367799,19.5929758385156,..,..,..
Bahrain,BHR,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,100,100,100,100,100,100,100,100,100,..,..,..,..,..,..
Bahrain,BHR,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0,0,0,0,0,0,0.0270103411020219,0.0256852456610281,0.0315966858587277,..,..,..,..,..,..
Bahrain,BHR,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..
Bahrain,BHR,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,100,100,100,100,100,100,99.972989658898,99.974314754339,99.9684033141413,..,..,..,..,..,..
Bahrain,BHR,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
Bahrain,BHR,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
Bahrain,BHR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,23243.5908841725,22697.6169188068,22258.1949327006,22335.93241802,22422.689937178,22343.537394919,22078.9904795856,22676.6258722851,22634.0856475674,22552.6845694088,22445.4525574091,21824.2062303419,21317.3344886284,19514.874877154,..
Bangladesh,BGD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.169593941656331,0.198172463991475,0.207053126231595,0.2124019629176,0.222868792353146,0.235263647224499,0.39656611450694,0.412898522713156,0.458797539455164,0.466776363121019,0.492906612933688,0.512837313770296,..,..,..
Bangladesh,BGD,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,95.2507767421216,94.2904783808648,95.9871417090812,96.2002840909091,96.9655228294778,97.1679207471547,98.0534638554217,98.6802757632734,98.7731100981173,..,..,..,..,..,..
Bangladesh,BGD,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,6.46756705345254,6.73873045078197,6.73988748995446,6.74208603896104,5.86233440019447,5.77003062729232,12.5978915662651,14.6996150058197,16.3799969497212,..,..,..,..,..,..
Bangladesh,BGD,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..
Bangladesh,BGD,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,88.7832096886691,87.5517479300828,89.2472542191267,89.4581980519481,91.1031884292833,90.7815631262525,83.1494728915663,82.0109230906975,80.7035976343394,..,..,..,..,..,..
Bangladesh,BGD,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,4.74922325787838,5.70952161913524,4.01285829091883,3.79971590909091,3.03447717052222,2.83207925284531,1.68298192771084,1.0529143164115,0.959143210587856,..,..,..,..,..,..
Bangladesh,BGD,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0,0,0,0,0,0.616326993609861,2.30609939759036,1.9697376667562,1.6895155140567,..,..,..,..,..,..
Bangladesh,BGD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,653.80864003472,674.166972677693,687.383307540341,707.60509399929,732.748840884682,769.135980425315,1129.99354846656,1184.86328330845,1248.45330989613,1322.69481176488,1403.86169202072,1498.38789214106,1603.95364590189,1643.67331003447,..
